j,i,lat,lon,THETA_W850,THETA_E850,GPH850,GPH500,SLP,T2C,RH2,U10M,V10M,TC1000,RH1000,U1000,V1000,TC975,RH975,U975,V975,TC950,RH950,U950,V950,TC925,RH925,U925,V925,TC850,RH850,U850,V850,TC700,RH700,U700,V700,TC500,RH500,U500,V500,TC300,RH300,U300,V300,label
123,292,41.456024,26.033117,-0.83016706,24.344746,153.50316,573.15405,1023.6998,4.9483266,99.8965,-0.04088528,0.2667228,nan,nan,nan,nan,5.7617445,98.15344,-1.3767538,0.8580532,6.395213,92.70815,-4.875617,2.9183235,5.6348634,77.623955,-4.4323063,3.2587173,6.982419,17.47032,-2.8091786,1.658789,0.09951904,20.064411,-4.06405,-0.8603424,-18.071877,7.550368,0.5708536,-7.262701,-46.26917,12.467721,2.1153343,-10.340221,28
124,292,41.568314,26.033117,-0.8178987,24.371365,153.52637,573.14185,1023.8822,4.8902087,99.58884,0.34691492,0.68035126,nan,nan,nan,nan,6.1470385,96.43743,-1.6902567,1.5822984,6.465208,91.59769,-4.4099417,3.629424,5.6770473,76.87493,-3.8527715,3.6396859,6.966405,17.5561,-2.6345506,1.7800629,0.0701788,20.587088,-3.8663583,-0.85954636,-18.079218,7.756667,0.5428316,-7.4333506,-46.29063,12.76965,2.2164993,-10.256617,28
125,292,41.680603,26.033117,-0.7853759,24.43798,153.56923,573.1271,1024.0433,4.739585,98.88713,0.34853747,0.77557915,nan,nan,nan,nan,6.3473587,95.30221,-1.84865,2.0536366,6.458872,91.371796,-3.8812702,4.0170135,5.6572027,77.27633,-3.3245132,3.9305182,6.9593863,17.857977,-2.4719164,1.9186041,0.023803178,21.124804,-3.6644175,-0.86192477,-18.089836,8.400176,0.5037828,-7.612635,-46.30187,13.0304365,2.3012092,-10.2228365,28
126,292,41.792892,26.033117,-0.74414134,24.520153,153.61592,573.1266,1024.1462,4.4889226,98.107254,-0.016784715,0.729222,nan,nan,nan,nan,6.458977,94.35714,-1.7717812,2.466084,6.414461,91.66934,-3.2294965,4.209418,5.5927787,78.660904,-2.755751,4.170762,6.955282,18.277172,-2.294953,2.0524602,-0.025835568,21.642189,-3.4762187,-0.8570582,-18.104637,9.041673,0.46707693,-7.78282,-46.30862,13.289604,2.3832653,-10.183841,28
127,292,41.90518,26.033117,-0.69304043,24.62245,153.65623,573.11957,1024.2662,4.2059455,98.94865,-0.50643635,0.5694811,nan,nan,nan,nan,6.3913045,94.20635,-1.5832407,2.4746048,6.297784,92.501495,-2.5820053,4.314776,5.500701,80.110245,-2.2686114,4.482711,6.997101,18.498741,-2.0902662,2.18551,-0.07093031,22.082228,-3.2840626,-0.84908515,-18.126923,10.01627,0.45897985,-7.917661,-46.315155,13.504234,2.4629505,-10.186403,28
128,292,42.01747,26.033117,-0.65089685,24.705153,153.65813,573.1197,1024.2935,4.186704,98.91321,-1.0074428,0.75973856,nan,nan,nan,nan,6.31549,93.920334,-1.298274,2.3269036,6.21302,93.778175,-1.8404942,4.3388433,5.39502,82.40227,-1.7333118,4.7984242,7.0922375,18.282244,-1.8512921,2.3060665,-0.110079676,22.504065,-3.1070426,-0.8291392,-18.151464,10.963672,0.44686863,-8.044999,-46.318695,13.722332,2.5361037,-10.198142,28
129,292,42.12976,26.033117,-0.592426,24.821335,153.66783,573.1104,1024.3573,4.1780095,98.88755,-1.1135637,0.61149764,nan,nan,nan,nan,6.0503855,94.20835,-1.053695,2.2721572,6.0826077,94.77833,-1.1997277,4.5675254,5.3382154,83.02241,-1.1917415,5.1692805,7.1852393,18.238081,-1.6944945,2.3979752,-0.14131099,22.760252,-2.9274917,-0.8534074,-18.178923,12.049096,0.45893514,-8.122328,-46.324665,13.93298,2.603697,-10.236771,28
130,292,42.24205,26.033117,-0.5115405,24.983315,153.69589,573.0898,1024.4867,4.07625,99.51755,-0.9234672,0.08092963,nan,nan,nan,nan,5.603253,95.16834,-0.84619796,2.2549708,5.8906927,95.51194,-0.6712842,4.9559608,5.316324,82.144844,-0.6775013,5.5975065,7.2663527,18.487238,-1.6072862,2.4709222,-0.16733594,22.880991,-2.7400854,-0.9146418,-18.208973,13.307164,0.49519464,-8.158615,-46.332905,14.127245,2.6687562,-10.301983,28
131,292,42.35434,26.033117,-0.40515983,25.188818,153.67625,573.1113,1024.4445,4.0229416,99.083466,-0.5668469,-0.27837434,nan,nan,nan,nan,5.168165,96.57564,-0.4169651,1.9156914,5.666861,95.74177,-0.1055479,5.099808,5.314658,81.16191,-0.12359761,5.9642696,7.4167557,18.503674,-1.540047,2.5730002,-0.19571747,23.264687,-2.56891,-0.9730167,-18.236195,14.405784,0.5108156,-8.149196,-46.33668,14.322484,2.7394528,-10.359951,28
132,292,42.46663,26.033117,-0.34556103,25.298494,153.5914,573.17535,1024.1891,4.183879,97.3374,-0.18353379,-0.77517354,nan,nan,nan,nan,4.6964154,98.299355,0.19736187,1.2528734,5.4124465,95.86655,0.52987826,5.148153,5.3610983,78.988716,0.45898405,6.279706,7.680074,17.366335,-1.491388,2.704149,-0.22422515,23.79788,-2.4160855,-1.0437727,-18.270033,15.608083,0.5423282,-8.043147,-46.344734,14.516079,2.8108158,-10.421127,28
133,292,42.57892,26.033117,-0.28557673,25.414032,153.56235,573.2392,1023.73145,4.214875,95.62999,0.17207846,-0.13718033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.469715,77.01567,0.98162705,6.8105087,7.8701863,16.722818,-1.3606662,2.770745,-0.3084208,25.039412,-2.2732663,-1.0506105,-18.291973,16.975386,0.5940656,-7.8752685,-46.355988,14.57951,2.9176183,-10.432597,28
134,292,42.691208,26.033117,-0.20718701,25.572691,153.59709,573.2996,1023.0941,4.0799837,94.61245,0.49121538,1.5384649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.6180444,75.43443,1.439213,7.521249,7.9659758,16.853065,-1.1367363,2.8137364,-0.4486877,26.974363,-2.1293368,-1.0014174,-18.304007,18.322384,0.6406676,-7.6945653,-46.367344,14.6027355,3.0396857,-10.423968,28
135,292,42.803497,26.033117,-0.122627795,25.74443,153.66954,573.3258,1022.7633,4.4815607,91.392204,0.679977,3.1771286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.4548683,67.17333,1.7195472,7.4382634,7.9243755,17.82101,-1.0454412,2.7596123,-0.5074906,27.606234,-1.9556174,-0.9508874,-18.31698,19.844875,0.7274636,-7.5634484,-46.38646,14.725745,3.1841679,-10.414287,28
136,292,42.915787,26.033117,-0.10103803,25.788786,153.75635,573.3251,1022.6701,5.351144,85.61435,0.6947518,5.028339,nan,nan,nan,nan,nan,nan,nan,nan,6.2815948,77.015,1.8376706,7.88499,7.796981,53.270947,1.8270673,7.3780437,7.8395357,18.4945,-1.0332073,2.4014485,-0.50425667,27.108402,-1.773575,-0.8600162,-18.326775,21.400635,0.8306969,-7.50731,-46.40595,14.858398,3.3378174,-10.406501,28
137,292,43.028076,26.033117,-0.06514702,25.861818,153.80823,573.3112,1022.7014,5.902566,81.900505,0.6466091,5.8962555,nan,nan,nan,nan,nan,nan,nan,nan,7.2919345,67.980194,2.183212,8.649014,8.441466,45.64916,2.016475,6.866438,7.874738,18.587915,-1.0788699,2.350915,-0.51748174,26.731695,-1.5831139,-0.81907505,-18.342232,22.927103,0.9349377,-7.4332566,-46.427174,15.008463,3.4875588,-10.379988,28
